Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
CPFF11	Títulos e Val. Mob.	71,56	2,01%	11,89%	0,90	389.986.000	1.028.000	0	0,00	0,00	0,00%	0,00%
CPTS11	Títulos e Val. Mob.	97,50	0,99%	12,40%	1,03	2.727.330.000	7.924.210	0	0,00	0,00	0,00%	0,00%
CRFF11	Títulos e Val. Mob.	67,98	7,90%	7,79%	0,77	46.908.900	53.881	0	0,00	0,00	0,00%	0,00%
CTXT11	Lajes Corporativas	23,30	5,83%	1,71%	0,54	60.446.700	11.192	1	1.342,83	168,11	12,52%	96,88%
CVBI11	Títulos e Val. Mob.	102,26	6,94%	12,29%	1,02	1.075.370.000	3.943.220	0	0,00	0,00	0,00%	0,00%
CXCE11B	Lajes Corporativas	43,74	26,09%	19,51%	0,68	74.924.400	41.403	1	3.538,53	1.049,56	29,66%	0,00%
CXCO11	Lajes Corporativas	79,98	4,90%	8,13%	0,83	313.882.000	201.989	10	3.382,86	182,75	5,40%	0,00%
CXRI11	Títulos e Val. Mob.	69,48	9,51%	8,59%	0,79	109.484.000	24.185	0	0,00	0,00	0,00%	0,00%
CXTL11	Logística	309,97	-1,71%	27,80%	0,45	16.613.500	6.137	3	867,39	110,71	12,76%	65,15%
DEVA11		103,60	4,31%	15,32%	1,07	1.440.630.000	6.755.000	0	0,00	0,00	0,00%	0,00%
DRIT11B	Lajes Corporativas	85,06	6,33%	5,15%	0,68	39.406.300	671	6	6.676,14	698,67	10,47%	2,82%
DVFF11	Híbrido	86,26	2,56%	4,20%	0,94	94.967.900	351.378	0	0,00	0,00	0,00%	0,00%
EDFO11B	Lajes Corporativas	215,00	9,84%	7,75%	1,11	50.740.000	4.814	1	142.954,00	15.711,50	10,99%	0,00%
EDGA11	Lajes Corporativas	22,13	7,68%	7,02%	0,33	84.360.800	42.979	1	3.348,19	424,81	12,69%	48,81%
EQIN11	Títulos e Val. Mob.	92,65	7,42%	6,27%	0,96	134.619.000	536.899	0	0,00	0,00	0,00%	0,00%
EQIR11	Títulos e Val. Mob.	99,80	0,46%	2,09%	0,98	50.149.500	13.035	0	0,00	0,00	0,00%	0,00%
ERCR11	Híbrido	76.000,00	7,65%	43,12%	1,04	180.576.000	1.767	0	0,00	0,00	0,00%	0,00%
EURO11	Logística	201,00	8,04%	8,81%	0,64	77.171.100	99.068	7	652,59	63,48	9,73%	0,00%
EVBI11	Híbrido	94,00	4,08%	8,55%	0,94	131.390.000	23.306	2	13.086,10	869,29	6,64%	0,00%
FAED11	Outros	144,90	10,03%	9,61%	0,67	93.050.100	62.915	3	2.447,72	268,49	10,97%	0,00%
FAMB11B	Lajes Corporativas	901,01	9,23%	0,00%	0,29	94.425.800	83.056	1	1.558,10	313,08	20,09%	100,00%
FATN11	Híbrido	101,99	5,73%	8,26%	1,01	82.724.500	13.562	16	26.057,10	1.395,66	5,36%	0,00%
FCFL11	Outros	112,70	6,81%	6,62%	1,08	391.521.000	432.181	1	12.620,80	972,57	7,71%	0,00%
FEXC11	Títulos e Val. Mob.	87,77	5,56%	10,96%	0,94	535.705.000	837.557	0	0,00	0,00	0,00%	0,00%
FIGS11	Shoppings	53,26	5,44%	6,15%	0,53	151.791.000	178.880	2	2.358,03	149,29	6,33%	12,34%
FIIB11	Híbrido	454,00	8,63%	8,68%	0,99	310.990.000	325.778	11	553,20	53,69	9,71%	1,10%
FIIP11B	Híbrido	163,13	6,24%	9,17%	0,81	151.248.000	86.953	7	2.116,22	164,09	7,75%	0,00%
FLCR11	Títulos e Val. Mob.	99,60	10,56%	13,76%	0,99	49.800.000	394.292	0	0,00	0,00	0,00%	0,00%
FLMA11	Híbrido	118,00	5,10%	5,67%	0,75	162.919.000	72.500	1	9.241,69	610,82	6,61%	0,00%
