Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
RECR11	Títulos e Val. Mob.	103,70	7,66%	13,13%	1,09	2.515.650.000	6.488.720	0	0,00	0,00	0,00%	0,00%
RECT11	Híbrido	69,35	9,30%	9,92%	0,71	567.238.000	731.430	8	7.045,00	842,13	11,95%	31,96%
RECX11	Títulos e Val. Mob.	91,13	4,31%	8,81%	1,02	19.894.900	6.308	0	0,00	0,00	0,00%	0,00%
REIT11	Títulos e Val. Mob.	500,13	16,10%	111,10%	1,03	13.148.900	242	0	0,00	0,00	0,00%	0,00%
RELG11	Híbrido	80,77	6,82%	11,07%	0,66	107.793.000	175.934	4	1.510,19	91,36	6,05%	9,09%
RFOF11	Títulos e Val. Mob.	69,57	7,13%	10,86%	0,80	75.007.900	171.873	0	0,00	0,00	0,00%	0,00%
RMAI11	Híbrido	40,30	4,49%	4,45%	0,37	98.485.100	59.571	2	2.258,06	329,14	14,58%	38,25%
RNDP11	Títulos e Val. Mob.	639,98	3,79%	46,34%	0,95	68.785.700	18.340	0	0,00	0,00	0,00%	0,00%
RNGO11	Lajes Corporativas	49,83	10,09%	8,71%	0,57	133.345.000	111.064	4	2.439,10	313,86	12,87%	15,39%
RRCI11	Títulos e Val. Mob.	85,40	8,43%	11,28%	0,88	41.142.000	107.954	0	0,00	0,00	0,00%	0,00%
RVBI11	Títulos e Val. Mob.	83,00	7,42%	10,50%	0,94	119.520.000	336.400	0	0,00	0,00	0,00%	0,00%
RZAK11	Títulos e Val. Mob.	96,50	1,49%	9,24%	1,02	289.667.000	1.192.330	0	0,00	0,00	0,00%	0,00%
RZTR11	Híbrido	102,03	7,05%	10,73%	1,01	1.127.230.000	3.524.120	11	3,09	0,25	8,09%	0,00%
SADI11	Títulos e Val. Mob.	88,50	4,89%	5,78%	0,88	281.448.000	624.885	0	0,00	0,00	0,00%	0,00%
SAIC11B	Lajes Corporativas	35,74	-1,29%	0,00%	0,64	51.098.900	31	1	4.367,16	0,00	0,00%	100,00%
SARE11	Híbrido	69,07	8,68%	10,75%	0,70	637.815.000	1.030.540	2	4.287,06	487,59	11,37%	0,00%
SCPF11	Shoppings	7,95	3,21%	3,28%	0,64	33.390.000	3.922	1	6.832,48	676,64	9,90%	27,69%
SDIL11	Logística	83,54	8,05%	9,44%	0,86	534.242.000	1.081.360	5	1.704,27	119,57	7,02%	7,27%
SEQR11	Outros	72,00	6,08%	10,08%	0,75	115.816.000	87.994	4	2.900,13	69,63	2,40%	0,00%
SHPH11	Shoppings	797,00	3,92%	4,03%	0,90	485.333.000	74.047	1	14.288,30	778,28	5,45%	11,82%
SNCI11	Títulos e Val. Mob.	104,35	0,56%	4,10%	1,02	167.714.000	1.358.110	0	0,00	0,00	0,00%	0,00%
SNFF11	Títulos e Val. Mob.	85,99	1,68%	5,14%	0,92	214.975.000	646.901	0	0,00	0,00	0,00%	0,00%
SPTW11	Lajes Corporativas	45,10	28,09%	50,58%	0,86	81.089.800	182.976	1	3.897,86	1.027,73	26,37%	0,00%
SRVD11		9,65	2,73%	0,00%	7,08	929.160.000	319	0	0,00	0,00	0,00%	0,00%
TEPP11	Lajes Corporativas	73,70	7,16%	7,38%	0,81	311.159.000	160.911	5	9.530,30	671,32	7,04%	13,05%
TGAR11		115,92	7,24%	13,09%	0,88	1.311.010.000	3.135.510	5	66,08	0,96	1,46%	0,00%
TORD11		9,69	5,99%	12,02%	0,75	339.648.000	927.883	0	0,00	0,00	0,00%	0,00%
TRNT11	Lajes Corporativas	110,00	4,59%	4,44%	0,54	432.912.000	14.457	1	6.859,86	564,99	8,24%	48,51%
TRXB11	Híbrido	122,89	7,70%	7,91%	1,28	307.399.000	499.600	12	3.722,62	408,84	10,98%	0,00%
TRXF11	Híbrido	101,37	5,56%	8,69%	0,99	734.406.000	2.037.420	25	2.288,82	185,49	8,10%	0,00%
TSER11	Lajes Corporativas	100,00	4,26%	6,12%	1,02	120.500.000	153.413	1	392.514,00	5.233,43	1,33%	3,00%
URPR11	Outros	115,50	4,50%	18,28%	1,21	421.914.000	3.819.010	0	0,00	0,00	0,00%	0,00%
VCJR11	Títulos e Val. Mob.	97,15	6,17%	12,31%	1,02	1.127.320.000	1.346.190	0	0,00	0,00	0,00%	0,00%
VCRR11	Residencial	75,20	3,86%	7,07%	0,63	150.400.000	53.392	4	2.396,77	0,00	0,00%	0,00%
VGHF11	Híbrido	10,03	0,67%	14,20%	1,06	334.613.000	2.088.440	0	0,00	0,00	0,00%	0,00%
VGIP11	Títulos e Val. Mob.	101,25	4,87%	13,51%	1,05	941.042.000	3.951.570	0	0,00	0,00	0,00%	0,00%
VGIR11	Títulos e Val. Mob.	98,70	2,49%	7,44%	1,01	444.783.000	1.071.290	0	0,00	0,00	0,00%	0,00%
VIFI11	Títulos e Val. Mob.	81,60	5,85%	9,14%	0,88	229.487.000	508.205	0	0,00	0,00	0,00%	0,00%
VILG11	Logística	101,86	5,91%	7,10%	0,89	1.527.630.000	4.350.140	15	2.758,82	179,82	6,52%	0,00%
VINO11	Lajes Corporativas	49,58	9,73%	11,66%	0,90	628.370.000	3.019.520	9	21.646,40	1.106,09	5,11%	0,68%
VISC11	Shoppings	100,06	4,18%	6,06%	0,86	1.770.690.000	2.082.210	19	2.515,58	136,27	5,42%	8,08%
VIUR11	Outros	75,71	3,94%	7,10%	0,78	204.010.000	314.576	5	2.727,01	84,46	3,10%	0,00%
VLOL11	Lajes Corporativas	95,53	4,24%	5,78%	0,92	170.505.000	182.911	1	16.283,60	816,39	5,01%	0,00%
VOTS11	Títulos e Val. Mob.	87,44	1,47%	8,72%	0,89	72.392.700	1.210	0	0,00	0,00	0,00%	0,00%
VRTA11	Títulos e Val. Mob.	103,85	9,71%	12,16%	1,07	1.131.980.000	2.184.100	0	0,00	0,00	0,00%	0,00%
VSEC11	Títulos e Val. Mob.	86,70	251,80%	9,18%	0,87	5.439.120	269	0	0,00	0,00	0,00%	0,00%
VSHO11	Shoppings	78,45	4,77%	7,72%	0,77	164.651.000	14.453	3	2.151,44	258,13	12,00%	7,84%
VSLH11	Outros	9,77	3,72%	13,73%	0,99	291.772.000	1.641.220	0	0,00	0,00	0,00%	0,00%
VTLT11	Logística	89,99	10,01%	10,05%	0,87	190.329.000	244.794	1	741,21	86,02	11,60%	0,00%
VVPR11	Híbrido	91,38	8,24%	9,17%	0,88	210.701.000	285.542	6	2.484,59	280,15	11,28%	0,00%
VXXV11	Outros	863,00	-0,18%	0,00%	1,24	152.559.000	310.781	0	0,00	0,00	0,00%	0,00%
WPLZ11	Shoppings	70,00	0,41%	2,09%	0,68	71.452.300	15.927	1	1.902,60	22,12	1,16%	10,98%
WTSP11B	Híbrido	44,53	7,34%	6,57%	0,59	44.198.900	345	1	3.626,69	385,26	10,62%	7,40%
XPCI11		96,85	8,59%	11,67%	1,02	667.090.000	2.543.630	0	0,00	0,00	0,00%	0,00%
XPCM11	Lajes Corporativas	18,79	38,69%	17,08%	0,34	45.369.800	104.838	1	1.911,09	600,65	31,43%	100,00%
XPHT11	Hotel	92,01	-0,24%	0,00%	1,06	350.065.000	86.995	11	14.291,90	13,60	0,10%	0,00%
XPIN11	Outros	86,56	7,86%	8,67%	0,79	618.939.000	542.195	95	1.376,67	115,33	8,38%	7,04%
XPLG11		97,11	8,43%	7,58%	0,87	2.631.780.000	4.637.310	15	1.956,42	190,88	9,76%	0,78%
XPML11	Shoppings	96,56	4,17%	5,78%	0,95	1.803.890.000	3.791.160	10	5.312,32	290,11	5,46%	4,83%
XPPR11	Outros	62,72	8,96%	9,73%	0,76	458.870.000	1.125.120	6	9.322,30	626,09	6,72%	0,00%
XPSF11	Títulos e Val. Mob.	77,62	3,30%	12,19%	0,86	336.111.000	691.814	0	0,00	0,00	0,00%	0,00%
XTED11	Lajes Corporativas	6,23	-6,34%	0,00%	0,44	12.062.800	3.617	1	1.602,63	0,00	0,00%	0,00%
