Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
B3SA3	14,13	18,33	3,83	8,399	5,89%	1,579	8,70	13,30	-13,09	11,76	10,09	63,16%	45,83%	1,64	21,23%	20,92%	536.429.000,00	22.580.300.000,00	0,62	33,84%
BALM3	14,58	18,94	1,19	0,998	2,33%	0,657	1,60	9,75	2,65	8,60	7,00	10,23%	4,31%	2,57	8,74%	6,31%	1.428,23	119.668.000,00	0,20	8,74%
GPAR3	41,52	19,31	2,10	15,468	1,22%	1,530	8,98	17,07	-24,59	16,33	16,33	90,60%	80,10%	5,32	10,12%	10,88%	96,56	1.539.700.000,00	0,06	-1,91%
RPAD6	4,37	19,31	0,36	0,000	0,00%	0,354	37,52	-88,11	37,97	-85,12	-85,12	0,00%	0,00%	3,82	-0,41%	1,84%	5.873,74	1.040.860.000,00	0,00	-19,89%
JPSA3	29,02	20,27	1,93	4,667	0,29%	0,468	2,34	12,96	-1,68	20,35	12,83	36,02%	46,31%	5,31	4,56%	9,51%	7.666.510,00	1.762.140.000,00	1,94	1,01%
BMOB3	15,16	20,42	1,35	4,610	0,00%	1,181	1,91	14,67	2,10	7,97	5,52	31,43%	22,57%	10,19	18,92%	6,61%	13.352.300,00	1.021.590.000,00	0,00	0,00%
MTRE3	6,96	20,84	0,75	1,318	8,11%	0,494	0,98	14,50	1,28	9,10	8,55	9,09%	6,70%	3,33	4,60%	3,58%	4.327.700,00	987.574.000,00	0,10	47,55%
LAME4	6,55	20,99	1,89	0,476	0,00%	0,282	1,19	7,32	-4,32	11,24	5,46	6,51%	2,51%	1,72	6,53%	9,02%	104.310.000,00	6.514.640.000,00	2,54	9,72%
RDNI3	9,26	21,03	0,65	1,064	0,11%	0,224	0,91	77,44	-1,26	169,48	85,85	1,37%	6,99%	2,08	0,30%	3,09%	262.385,00	624.005.000,00	0,84	9,84%
LAME3	6,62	21,22	1,91	0,481	0,00%	0,285	1,20	7,40	-4,37	11,32	5,49	6,51%	2,51%	1,72	6,53%	9,02%	16.004.600,00	6.514.640.000,00	2,54	9,72%
BOAS3	5,70	21,42	1,51	4,231	1,52%	1,173	2,48	18,89	3,67	11,88	5,85	22,39%	19,75%	7,70	12,19%	7,06%	7.694.000,00	2.001.970.000,00	0,05	12,81%
BPAC3	13,45	21,42	4,27	0,000	0,95%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	19,92%	195.509,00	36.259.400.000,00	0,00	33,79%
INTB3	30,84	21,46	5,51	3,543	0,53%	3,209	6,29	36,56	7,96	34,59	30,72	9,69%	16,49%	2,68	17,42%	25,66%	29.070.200,00	1.834.640.000,00	0,22	0,00%
VITT3	15,00	21,46	4,73	3,038	0,65%	2,344	7,89	15,39	9,79	16,39	15,31	19,74%	14,36%	1,67	19,67%	22,05%	1.960.770,00	453.438.000,00	0,64	0,00%
RENT3	57,22	21,66	5,81	3,896	0,78%	1,978	27,77	13,87	-4,83	16,19	14,28	28,08%	17,98%	1,40	18,06%	26,84%	440.395.000,00	7.465.070.000,00	1,44	18,52%
VIVA3	24,70	22,05	4,34	4,622	1,33%	2,463	6,99	19,44	15,57	18,86	15,46	23,78%	20,96%	2,48	17,64%	19,70%	27.137.400,00	1.342.840.000,00	0,22	27,01%
PGMN3	9,11	22,34	1,95	0,545	0,00%	0,677	3,88	10,30	-5,06	11,45	6,86	5,29%	2,44%	1,51	8,80%	8,71%	7.392.300,00	2.077.700.000,00	0,37	6,28%
JOPA4	35,00	22,43	0,68	0,197	2,69%	0,169	0,46	6,30	4,76	13,67	10,61	3,13%	1,26%	2,12	4,13%	3,01%	529,30	547.682.000,00	1,95	15,08%
AGXY3	11,94	22,45	1,49	0,357	0,00%	0,342	3,14	11,72	50,52	16,05	11,18	3,05%	1,42%	1,16	6,00%	6,66%	1.044.430,00	1.364.840.000,00	0,98	0,00%
